,평균기온,강수량,상대습도
2018-04-01,15.6,,68.8
2018-04-02,18.4,,64
2018-04-03,17.8,0.1,72.9
2018-04-04,13.4,18.5,67
2018-04-05,7.6,10.5,90.6
2018-04-06,5.8,6.5,71.6
2018-04-07,4.2,0.2,45.5
2018-04-08,3.9,3,59.6
2018-04-09,7.9,,57.9
2018-04-10,15.1,5,51
2018-04-11,12.6,,49.4
2018-04-12,13.3,,30.5
2018-04-13,14.6,,22.9
2018-04-14,9,9,78.8
2018-04-15,9.5,,65.5
2018-04-16,11.6,,41.9
2018-04-17,12.9,,37.9
2018-04-18,12.4,,35.4
2018-04-19,14,,38.8
2018-04-20,18.4,,46
2018-04-21,18.7,,32
2018-04-22,15.5,15.5,57.4
2018-04-23,9.3,59,93.9
2018-04-24,12.1,3,63.3
2018-04-25,14.6,,37.8
2018-04-26,14.9,,51.9
2018-04-27,15.7,,52.9
2018-04-28,15.4,,49
2018-04-29,16.2,,43.1
2018-04-30,19.2,,61.6
2018-05-01,20.4,0,72.8
2018-05-02,15.1,12,90.4
2018-05-03,11.2,1,62.4
2018-05-04,14.1,,45.5
2018-05-05,18.3,,46.8
2018-05-06,16.6,22,86.4
2018-05-07,19.2,,60.3
2018-05-08,17.5,,50.9
2018-05-09,15.7,,50.4
2018-05-10,15.4,,67.4
2018-05-11,16.1,,59.8
2018-05-12,14.2,32,89.3
2018-05-13,15.8,0.5,82.5
2018-05-14,18.2,,71.4
2018-05-15,23.2,0,56.4
2018-05-16,22.3,45,93.8
2018-05-17,20.9,83,97
2018-05-18,16.3,6.5,86.8
2018-05-19,17.6,,47.5
2018-05-20,17,12.5,32.1
2018-05-21,17.8,6.5,43.9
2018-05-22,18.1,,75.5
2018-05-23,17.3,,57.1
2018-05-24,18.3,,47.4
2018-05-25,19.7,,47.4
2018-05-26,21.8,,50.1
2018-05-27,20.3,1,47.4
2018-05-28,22.3,0,49.8
2018-05-29,21.4,,69.3
2018-05-30,20.2,,69.8
2018-05-31,20.9,,58.9
2018-06-01,23.8,,50.4
2018-06-02,23.4,,44.5
2018-06-03,24,,39.4
2018-06-04,22.6,,50.1
2018-06-05,23.7,,52.5
2018-06-06,23,,62.9
2018-06-07,22.2,,69.3
2018-06-08,21.9,,68
2018-06-09,23.7,0.5,60.6
2018-06-10,21.3,0.5,59.9
2018-06-11,20.2,5,67.3
2018-06-12,21.3,0,65.5
2018-06-13,22,0,64
2018-06-14,21.6,29,74.9
2018-06-15,21.7,16.5,60.8
2018-06-16,22.5,,56.4
2018-06-17,22.8,,66.9
2018-06-18,24.8,,54.9
2018-06-19,22.4,,61.3
2018-06-20,22.7,,68.1
2018-06-21,23.7,,60.1
2018-06-22,25,,45.1
2018-06-23,24.5,,50.6
2018-06-24,25.2,,62.8
2018-06-25,27.1,,57.1
2018-06-26,22.3,71.5,88.3
